Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
A0,,,,,,-105.22169238,39.75132885,1744.120,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,2025-02-14 13:13:03.4 UTC-07:00,2025-02-14 13:13:03.4 UTC-07:00,1,1.3,1.5,,,,-105.22127674,39.75130883,1745.738,35.702,,Global CS,9,6,9,4,0
A6,,,,,,-105.22164887,39.75128700,1744.341,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:14:19.6 UTC-07:00,2025-02-14 13:14:19.6 UTC-07:00,1,1.1,1.3,,,,-105.22127674,39.75130883,1745.738,31.998,,Global CS,9,6,10,4,0
B6,,,,,,-105.22165883,39.75128224,1744.362,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,2025-02-14 13:15:31.8 UTC-07:00,2025-02-14 13:15:31.8 UTC-07:00,1,1.3,1.5,,,,-105.22127674,39.75130883,1745.738,32.893,,Global CS,9,6,10,4,0
B0,,,,,,-105.22170254,39.75132420,1744.132,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,2025-02-14 13:16:23.2 UTC-07:00,2025-02-14 13:16:23.2 UTC-07:00,1,1.6,1.9,,,,-105.22127674,39.75130883,1745.738,36.543,,Global CS,9,6,10,4,0
C0,,,,,,-105.22171215,39.75131954,1744.207,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,2025-02-14 13:16:59.4 UTC-07:00,2025-02-14 13:16:59.4 UTC-07:00,1,1.4,1.6,,,,-105.22127674,39.75130883,1745.738,37.347,,Global CS,9,6,10,4,0
C6,,,,,,-105.22166847,39.75127722,1744.385,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:17:52.2 UTC-07:00,2025-02-14 13:17:52.2 UTC-07:00,1,1.3,1.5,,,,-105.22127674,39.75130883,1745.738,33.770,,Global CS,9,6,9,4,0
D6,,,,,,-105.22167712,39.75127239,1744.357,Global,0.010,0.010,0.019,0.014,1.934,m,FIX,2025-02-14 13:18:53.2 UTC-07:00,2025-02-14 13:18:53.2 UTC-07:00,1,1.2,1.4,,,,-105.22127674,39.75130883,1745.738,34.565,,Global CS,9,6,9,4,0
D0,,,,,,-105.22172143,39.75131436,1744.255,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:19:54.6 UTC-07:00,2025-02-14 13:19:54.6 UTC-07:00,1,1.4,1.6,,,,-105.22127674,39.75130883,1745.738,38.130,,Global CS,8,6,9,4,0
E0,,,,,,-105.22173073,39.75130863,1744.272,Global,0.010,0.010,0.016,0.014,1.934,m,FIX,2025-02-14 13:20:41.4 UTC-07:00,2025-02-14 13:20:41.4 UTC-07:00,1,1.7,2.1,,,,-105.22127674,39.75130883,1745.738,38.922,,Global CS,9,7,8,4,0
E6,,,,,,-105.22168608,39.75126685,1744.421,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:21:16.2 UTC-07:00,2025-02-14 13:21:16.2 UTC-07:00,1,1.1,1.3,,,,-105.22127674,39.75130883,1745.738,35.405,,Global CS,9,6,9,4,0
F6,,,,,,-105.22171675,39.75125244,1744.522,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:23:00.0 UTC-07:00,2025-02-14 13:23:00.0 UTC-07:00,1,1.4,1.6,,,,-105.22127674,39.75130883,1745.738,38.243,,Global CS,9,7,9,4,0
F0,,,,,,-105.22175514,39.75129702,1744.307,Global,0.010,0.010,0.020,0.014,1.934,m,FIX,2025-02-14 13:23:28.2 UTC-07:00,2025-02-14 13:23:28.2 UTC-07:00,1,1.5,1.7,,,,-105.22127674,39.75130883,1745.738,41.035,,Global CS,9,7,8,4,0
G0,,,,,,-105.22176528,39.75129232,1744.319,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,2025-02-14 13:23:51.0 UTC-07:00,2025-02-14 13:23:51.0 UTC-07:00,1,1.3,1.5,,,,-105.22127674,39.75130883,1745.738,41.924,,Global CS,9,6,9,4,0
G6,,,,,,-105.22172652,39.75124737,1744.514,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:24:27.8 UTC-07:00,2025-02-14 13:24:27.8 UTC-07:00,1,1.5,1.8,,,,-105.22127674,39.75130883,1745.738,39.164,,Global CS,8,6,9,4,0
H6,,,,,,-105.22173575,39.75124208,1744.558,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:24:48.6 UTC-07:00,2025-02-14 13:24:48.6 UTC-07:00,1,1.4,1.6,,,,-105.22127674,39.75130883,1745.738,40.048,,Global CS,9,6,9,4,0
H0,,,,,,-105.22177435,39.75128707,1744.340,Global,0.010,0.010,0.016,0.014,1.934,m,FIX,2025-02-14 13:25:21.2 UTC-07:00,2025-02-14 13:25:21.2 UTC-07:00,1,1.3,1.5,,,,-105.22127674,39.75130883,1745.738,42.730,,Global CS,9,5,9,4,0
I0,,,,,,-105.22178472,39.75128267,1744.385,Global,0.010,0.010,0.014,0.014,1.934,m,FIX,2025-02-14 13:25:45.2 UTC-07:00,2025-02-14 13:25:45.2 UTC-07:00,1,1.5,1.8,,,,-105.22127674,39.75130883,1745.738,43.648,,Global CS,9,7,7,4,0
I6,,,,,,-105.22174538,39.75123761,1744.555,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:26:13.2 UTC-07:00,2025-02-14 13:26:13.2 UTC-07:00,1,1.8,2.2,,,,-105.22127674,39.75130883,1745.738,40.953,,Global CS,9,6,9,4,0
J6,,,,,,-105.22175408,39.75123262,1744.610,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:26:43.8 UTC-07:00,2025-02-14 13:26:43.8 UTC-07:00,1,1.2,1.4,,,,-105.22127674,39.75130883,1745.738,41.795,,Global CS,8,6,9,4,0
J0,,,,,,-105.22179414,39.75127737,1744.397,Global,0.010,0.010,0.017,0.014,1.934,m,FIX,2025-02-14 13:27:19.6 UTC-07:00,2025-02-14 13:27:19.6 UTC-07:00,1,1.7,2.1,,,,-105.22127674,39.75130883,1745.738,44.497,,Global CS,8,6,9,4,0
