Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
A1,,,,,,-105.22150316,39.75130502,1744.267,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:50:05.4 UTC-07:00,2025-02-14 12:50:05.4 UTC-07:00,1,1.0,1.2,,,,-105.22127674,39.75130883,1745.738,19.420,,Global CS,10,6,9,3,0
A2,,,,,,-105.22151478,39.75131538,1744.234,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:50:57.0 UTC-07:00,2025-02-14 12:50:57.0 UTC-07:00,1,1.0,1.2,,,,-105.22127674,39.75130883,1745.738,20.424,,Global CS,8,7,9,3,0
A3,,,,,,-105.22152534,39.75132503,1744.181,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:51:24.0 UTC-07:00,2025-02-14 12:51:24.0 UTC-07:00,1,1.0,1.1,,,,-105.22127674,39.75130883,1745.738,21.391,,Global CS,10,7,9,3,0
A4,,,,,,-105.22153737,39.75133580,1744.110,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:51:49.6 UTC-07:00,2025-02-14 12:51:49.6 UTC-07:00,1,1.0,1.2,,,,-105.22127674,39.75130883,1745.738,22.545,,Global CS,9,7,9,3,0
A5,,,,,,-105.22154795,39.75134540,1744.050,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:52:13.4 UTC-07:00,2025-02-14 12:52:13.4 UTC-07:00,1,1.1,1.2,,,,-105.22127674,39.75130883,1745.738,23.604,,Global CS,10,7,9,3,0
B5,,,,,,-105.22156585,39.75133540,1744.117,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:52:45.6 UTC-07:00,2025-02-14 12:52:45.6 UTC-07:00,1,1.0,1.2,,,,-105.22127674,39.75130883,1745.738,24.961,,Global CS,10,7,10,3,0
B4,,,,,,-105.22155377,39.75132529,1744.172,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:53:01.4 UTC-07:00,2025-02-14 12:53:01.4 UTC-07:00,1,1.0,1.1,,,,-105.22127674,39.75130883,1745.738,23.822,,Global CS,10,8,9,3,0
B3,,,,,,-105.22154241,39.75131536,1744.242,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:53:19.4 UTC-07:00,2025-02-14 12:53:19.4 UTC-07:00,1,1.0,1.1,,,,-105.22127674,39.75130883,1745.738,22.791,,Global CS,10,8,9,3,0
B2,,,,,,-105.22153213,39.75130605,1744.281,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:53:40.0 UTC-07:00,2025-02-14 12:53:40.0 UTC-07:00,1,1.0,1.2,,,,-105.22127674,39.75130883,1745.738,21.901,,Global CS,10,8,9,3,0
B1,,,,,,-105.22152017,39.75129561,1744.317,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 12:53:52.0 UTC-07:00,2025-02-14 12:53:52.0 UTC-07:00,1,0.9,1.1,,,,-105.22127674,39.75130883,1745.738,20.927,,Global CS,11,8,9,3,0
