"","TRACE",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
"","Position (m)",0.5,0.5999999999999999778,0.6999999999999999556,0.7999999999999999334,0.8999999999999999112,0.999999999999999889,1.099999999999999867,1.199999999999999956,1.300000000000000044,1.400000000000000133,1.500000000000000222,1.600000000000000311,1.7000000000000004,1.800000000000000488,1.900000000000000577,2.000000000000000444,2.100000000000000533,2.200000000000000622,2.300000000000000711,2.400000000000000799,2.500000000000000888,2.600000000000000977,2.700000000000001066,2.800000000000001155,2.900000000000001243,3.000000000000001332,3.100000000000001421,3.20000000000000151,3.300000000000001599,3.400000000000001688,3.500000000000001776,3.600000000000001865,3.700000000000001954,3.800000000000002043,3.900000000000002132,4.000000000000001776,4.100000000000001421,4.200000000000001066,4.300000000000000711,4.400000000000000355,4.5,4.599999999999999645,4.699999999999999289,4.799999999999998934,4.899999999999998579,4.999999999999998224,5.099999999999997868,5.199999999999997513,5.299999999999997158,5.399999999999996803,5.499999999999996447,5.599999999999996092,5.699999999999995737,5.799999999999995381,5.899999999999995026,5.999999999999994671,6.099999999999994316,6.19999999999999396,6.299999999999993605,6.39999999999999325,6.499999999999992895,6.599999999999992539,6.699999999999992184,6.799999999999991829,6.899999999999991473,6.999999999999991118,7.099999999999990763,7.199999999999990408,7.299999999999990052,7.399999999999989697,7.499999999999989342,7.599999999999988987,7.699999999999988631,7.799999999999988276,7.899999999999987921,7.999999999999987566,8.09999999999998721,8.199999999999986855,8.2999999999999865,8.399999999999986144,8.499999999999985789,8.599999999999985434,8.699999999999985079,8.799999999999984723,8.899999999999984368,8.999999999999984013,9.099999999999983658,9.199999999999983302,9.299999999999982947,9.399999999999982592,9.499999999999982236,9.599999999999981881,9.699999999999981526,9.799999999999981171,9.899999999999980815,9.99999999999998046,10.0999999999999801,10.19999999999997975,10.29999999999997939,10.39999999999997904,10.49999999999997868,10.59999999999997833,10.69999999999997797,10.79999999999997762,10.89999999999997726,10.99999999999997691,11.09999999999997655,11.1999999999999762,11.29999999999997584,11.39999999999997549,11.49999999999997513,11.59999999999997478,11.69999999999997442,11.79999999999997407,11.89999999999997371,11.99999999999997335,12.099999999999973,12.19999999999997264,12.29999999999997229,12.39999999999997193,12.49999999999997158,12.59999999999997122,12.69999999999997087,12.79999999999997051,12.89999999999997016,12.9999999999999698,13.09999999999996945,13.19999999999996909,13.29999999999996874,13.39999999999996838,13.49999999999996803,13.59999999999996767,13.69999999999996732,13.79999999999996696,13.8999999999999666,13.99999999999996625,14.09999999999996589,14.19999999999996554,14.29999999999996518,14.39999999999996483,14.49999999999996447,14.59999999999996412,14.69999999999996376,14.79999999999996341,14.89999999999996305,14.9999999999999627,15.09999999999996234,15.19999999999996199,15.29999999999996163,15.39999999999996128,15.49999999999996092,15.59999999999996056,15.69999999999996021,15.79999999999995985,15.8999999999999595,15.99999999999995914,16.09999999999995879,16.19999999999996021
"Point","Time (ns)"
1,0,-381,652,-662,1085,-290,-227,-1141,630,-318,707,123,-30,871,-187,-1057,-811,-1559,-385,705,576,1566,-1133,-1359,428,-779,169,421,537,-36,-27,-488,666,74,-833,1039,-1955,-628,-838,-359,-107,429,-801,222,1461,434,1422,-103,208,154,234,993,-706,-595,223,-331,669,-492,-25,-519,11,973,258,-386,151,262,24,-214,-510,-580,-430,132,1005,-583,-527,277,1510,432,-1272,-1987,-1325,-952,938,-967,185,583,252,-50,-876,-51,-1967,-124,-304,-587,-640,1101,258,187,-1962,816,1991,645,-332,-121,-946,112,-146,195,-240,479,-41,-662,-660,-99,-879,-100,-443,81,-472,476,1546,-977,-1034,254,476,-714,-1445,-1298,708,937,-5,-596,-311,932,543,-681,437,-631,728,-72,-1358,-63,181,71,-1802,-241,242,-816,-691,-839,137,-465,587,-2610,-854,1072,309,-1022,-1717
2,0.4000000000000000222,-328,-232,423,-265,-382,758,-464,301,-390,-247,-1112,348,653,-1778,254,789,461,-115,-243,828,596,289,-1217,-109,266,-897,-468,-406,41,-1563,915,652,391,916,1728,516,-195,-286,-357,542,425,-254,-133,-203,-798,987,29,219,-1368,-507,-489,-717,395,-852,327,724,-101,-463,-921,1264,559,-441,938,257,-353,-242,-851,-212,-149,354,66,370,-1583,65,-474,-404,-1088,-564,-1292,-1232,76,666,-240,278,-121,-903,801,-340,-175,165,-248,369,-53,226,-512,434,-631,-437,-1101,-1010,-816,-346,1149,438,888,277,4553,-240,-290,-577,-35,-712,943,683,-546,54,-3,-370,1397,833,-1427,-556,-586,-931,439,-856,-966,654,-1155,-282,294,52,177,104,-54,83,63,1018,-683,1105,-184,-761,286,510,-17,-949,1300,-748,81,564,-1723,-269,-168,-126,-72,-30,1552,-930
3,0.8000000000000000444,81,-600,-679,326,131,-1030,-590,368,-714,582,193,-153,-1316,-356,-232,483,-656,238,-276,-55,447,149,801,-661,-1271,-17,628,590,-246,-172,-144,1002,-27,-442,502,591,90,798,-218,-881,-779,-217,-3,59,1510,-99,-175,358,492,-1,-34,23,314,-687,-33,-41,-1777,-1083,53,-477,40,826,204,353,-139,295,310,238,-494,-237,-12,-905,8,332,1152,857,-243,-536,-39,-682,-1193,16,399,447,-246,-341,32,-1280,245,-1175,-985,-409,-23,533,-71,557,-44,-1279,84,-18,-629,93,1315,-601,208,261,1239,503,294,-228,-1942,203,-546,412,-395,-1451,-212,713,753,891,1116,351,-1069,-1161,-703,137,-2224,-1266,-828,83,-470,-229,-472,-847,-249,596,734,594,612,389,-348,-1252,-998,-700,-195,1740,-1022,-817,11,-857,-372,-870,-652,2762,-947,681,374,-748
4,1.200000000000000178,1228,40,-19,-210,242,247,-576,469,-92,-624,1333,-62,2,410,-634,158,-446,-502,52,-626,-465,142,-43,-814,535,560,169,-436,506,54,-604,1507,-328,1078,-601,722,219,315,-553,-331,22,-292,-667,695,378,644,-323,761,131,-974,-349,629,-806,-229,201,-468,33,-1148,864,1140,-295,-746,-859,-195,-58,-165,632,-529,19,103,269,-1380,-805,-389,491,799,-11,0,1307,-42,-726,-246,309,-531,-307,113,-120,-844,-450,-426,-675,-138,918,610,502,-1471,149,1213,-970,-865,367,-1431,-513,511,244,661,-335,1177,95,-929,-713,938,41,674,799,-100,50,6,-874,234,-184,-1352,480,-671,185,732,-459,-1438,-394,-3,-242,-523,-236,81,247,-792,-389,43,1654,-495,542,-408,-491,-1316,-92,-102,-199,-1153,951,-1228,-631,446,-808,-255,195,1071,1771,387
5,1.600000000000000089,206,-1384,-944,137,-337,-1040,149,-99,-541,-819,-462,125,340,-70,419,993,-990,229,1304,-567,-636,525,-7,331,639,955,-331,1407,-789,-574,-539,477,473,-680,-471,-176,1388,-593,-869,-420,-101,1057,-468,-153,-734,-603,1,-1053,-737,-763,398,143,-401,-465,20,-46,567,460,103,697,-86,7,386,-400,43,743,-250,-1492,-190,-397,-327,-572,-1371,-829,-753,-246,-158,-986,-1402,-225,-351,19,375,-796,530,-1440,327,-678,-46,461,478,-371,766,-639,201,-623,44,92,-506,-172,1115,-238,-237,-168,-358,-2404,-1005,210,1,1008,252,979,139,-781,-1266,-483,-647,-501,444,1475,628,-181,-1507,1346,52,-185,-1687,552,-612,-404,470,-387,-594,-327,1138,-993,515,157,-386,-356,-87,-324,478,-1141,-1186,-451,76,-229,-469,-2107,1119,-569,1049,-2509,-2169,-392,359,1465
6,2,178,-29,-1378,-838,188,-1630,556,-226,415,1310,-365,631,338,-768,-181,1070,686,-169,-788,-719,732,-822,-313,749,85,-129,-988,-149,-360,-714,708,-14,-171,-437,945,-1101,1275,-872,250,659,452,-525,-1022,660,112,-1034,909,-1221,974,-625,-181,-510,-463,-720,-1027,-340,1329,-1348,177,-226,-1118,-1777,-113,-1016,-1221,328,-35,-267,-279,50,-633,-101,-286,-897,-599,83,349,-567,-144,72,739,1187,-41,-771,-140,-872,-293,182,-253,692,465,-695,910,916,-691,-30,56,-121,677,-1112,245,-524,90,-919,-758,1876,-700,-2404,281,-276,-723,-41,558,-22,218,706,-649,48,-345,-15,-250,586,-525,1672,-646,-1618,-151,-47,433,219,841,601,588,637,-647,-471,-397,262,-981,-466,-122,61,1663,-147,-108,-1621,-299,123,-1304,509,-971,671,-2324,1125,-118,-319,-355,-381
7,2.400000000000000355,-461,-162,-321,-137,-129,50,245,187,-1038,1648,1179,-612,-613,609,-169,1199,690,-595,96,-228,-140,-213,-259,101,-98,119,1071,1246,-815,-264,8,212,-249,437,646,919,496,580,867,332,-966,91,444,-142,1539,834,-215,112,1009,-503,800,-1001,-97,-959,732,-989,726,-802,-575,-723,-203,668,-866,-501,-494,-272,-980,130,719,-400,25,-425,-436,-1393,148,385,808,142,-303,-501,-281,-125,237,-71,-651,-118,508,244,-814,-208,125,333,135,-789,-1278,-782,-19,-375,-437,290,1412,-549,-531,-602,-931,182,1007,-14,537,-349,-656,902,-27,441,-43,-70,-1053,-58,930,-356,-1429,-336,-1071,-378,-1239,64,-48,889,-399,-923,82,507,-814,-563,393,-144,-333,771,374,-126,633,-783,-441,360,198,-1111,-1034,-1420,-1036,685,-1212,-80,1826,924,-933,1234,-1984,-589
8,2.800000000000000266,671,1179,-515,863,-405,-489,862,-307,-669,-1569,122,-750,812,454,-133,-946,-291,596,26,243,-1312,-747,118,1208,-580,-1152,-194,-207,-218,293,-1049,15,246,654,-25,890,-1011,-755,-249,-811,936,-69,-586,-1177,-504,1046,-126,552,706,-471,981,774,7,12,897,-67,-158,1155,-434,-209,52,915,788,-573,-454,231,69,428,-951,362,26,994,-93,706,-346,1104,177,-63,1597,-431,1380,817,-711,527,322,-1107,232,-347,290,374,-648,-9,-1163,-612,17,-444,-48,-100,195,-102,1123,-109,1590,-585,1927,303,159,-672,391,-179,-690,46,402,-504,157,-3,-480,308,-296,181,326,-1208,344,344,54,-2939,-1554,-67,-411,-293,-519,-333,443,658,-1003,-715,67,-115,221,-827,-622,-622,424,-1278,-115,961,-667,-2914,587,-3,525,-717,931,-1783,-478,-33,-919,741
