"","TRACE",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
"","Position (m)",0.5,0.5999999999999999778,0.6999999999999999556,0.7999999999999999334,0.8999999999999999112,0.999999999999999889,1.099999999999999867,1.199999999999999956,1.300000000000000044,1.400000000000000133,1.500000000000000222,1.600000000000000311,1.7000000000000004,1.800000000000000488,1.900000000000000577,2.000000000000000444,2.100000000000000533,2.200000000000000622,2.300000000000000711,2.400000000000000799,2.500000000000000888,2.600000000000000977,2.700000000000001066,2.800000000000001155,2.900000000000001243,3.000000000000001332,3.100000000000001421,3.20000000000000151,3.300000000000001599,3.400000000000001688,3.500000000000001776,3.600000000000001865,3.700000000000001954,3.800000000000002043,3.900000000000002132,4.000000000000001776,4.100000000000001421,4.200000000000001066,4.300000000000000711,4.400000000000000355,4.5,4.599999999999999645,4.699999999999999289,4.799999999999998934,4.899999999999998579,4.999999999999998224,5.099999999999997868,5.199999999999997513,5.299999999999997158,5.399999999999996803,5.499999999999996447,5.599999999999996092,5.699999999999995737,5.799999999999995381,5.899999999999995026,5.999999999999994671,6.099999999999994316,6.19999999999999396,6.299999999999993605,6.39999999999999325,6.499999999999992895,6.599999999999992539,6.699999999999992184,6.799999999999991829,6.899999999999991473,6.999999999999991118,7.099999999999990763,7.199999999999990408,7.299999999999990052,7.399999999999989697,7.499999999999989342,7.599999999999988987,7.699999999999988631,7.799999999999988276,7.899999999999987921,7.999999999999987566,8.09999999999998721,8.199999999999986855,8.2999999999999865,8.399999999999986144,8.499999999999985789,8.599999999999985434,8.699999999999985079,8.799999999999984723,8.899999999999984368,8.999999999999984013,9.099999999999983658,9.199999999999983302,9.299999999999982947,9.399999999999982592,9.499999999999982236,9.599999999999981881,9.699999999999981526,9.799999999999981171,9.899999999999980815,9.99999999999998046,10.0999999999999801,10.19999999999997975,10.29999999999997939,10.39999999999997904,10.49999999999997868,10.59999999999997833,10.69999999999997797,10.79999999999997762,10.89999999999997726,10.99999999999997691,11.09999999999997655,11.1999999999999762,11.29999999999997584,11.39999999999997549,11.49999999999997513,11.59999999999997478,11.69999999999997442,11.79999999999997407,11.89999999999997371,11.99999999999997335,12.099999999999973,12.19999999999997264,12.29999999999997229,12.39999999999997193,12.49999999999997158,12.59999999999997122,12.69999999999997087,12.79999999999997051,12.89999999999997016,12.9999999999999698,13.09999999999996945,13.19999999999996909,13.29999999999996874,13.39999999999996838,13.49999999999996803,13.59999999999996767,13.69999999999996732,13.79999999999996696
"Point","Time (ns)"
1,0,727,-1202,124,115,411,798,598,921,235,1290,130,-109,893,635,-137,32,209,-1275,-75,-789,144,-576,-43,-88,744,613,-717,-897,931,-193,527,-1027,-1179,-298,378,-814,-926,696,-544,-1911,-165,143,563,486,57,-107,-1580,138,-414,-1238,-176,767,637,-951,326,-537,-610,165,234,-835,655,-717,287,563,-133,-683,293,97,714,-344,-19,-292,461,-167,-555,-569,392,1524,-713,-722,184,329,-906,386,70,359,-551,929,-811,749,349,-878,272,-155,-581,140,-299,64,-363,-224,977,-109,-214,213,-396,76,-336,-1147,-12,-632,-534,102,-40,297,-755,890,0,-1535,-1634,-5,27,-7,90,-697,59,670,-26,57,245,-285,329,-163,412,-714
2,0.4000000000000000222,-919,2557,-1684,-564,178,21,-409,298,-2131,935,-697,-561,252,650,-207,-860,-983,-292,-225,372,1979,558,-478,515,1043,-870,140,2116,-371,-913,-347,-303,1315,361,749,-1049,813,-1264,-76,-1493,906,445,1067,-1425,321,844,447,1205,222,1331,-644,-209,-434,-1353,187,-517,-156,-316,-241,44,289,-645,162,-1032,-618,-383,-889,-722,450,1149,-102,-580,-102,187,-731,101,-611,-374,-816,995,617,-521,-235,-563,2095,960,-146,-332,243,557,-320,-927,161,-972,-1753,-478,405,-314,316,933,377,1178,-487,-322,1003,-452,-982,63,359,-649,381,-405,-387,84,-288,683,-478,659,-314,-423,145,79,-213,327,-445,366,-255,699,-1210,-202,-147,-9,-733,88
3,0.8000000000000000444,-535,-1427,381,1987,96,734,-1222,-776,373,204,1072,141,-1005,-411,990,613,330,1205,141,-398,213,590,1649,-998,66,-1123,959,938,-291,409,-23,137,-775,-210,27,-1555,-222,-697,216,-1622,860,-18,2230,-1608,-66,-2494,-784,-690,-179,-328,799,53,924,1219,-29,342,-1063,-348,462,-223,-144,-695,632,-562,-347,-346,286,-83,-38,91,14,-6,161,-432,204,-166,-434,-125,214,1422,-328,1111,1214,-794,-348,-94,-278,345,-1453,602,-119,1088,-636,311,-671,214,886,-285,-1080,414,-822,-983,573,-891,270,-82,466,-204,706,36,-750,-546,-208,532,211,-413,-902,-356,1101,393,-1030,-16,465,-291,348,255,4,399,426,-38,659,260,-647,-511
4,1.200000000000000178,-180,-617,32,-324,-75,135,1411,1017,153,121,-555,-1200,509,36,-331,-746,-151,-421,-117,279,-997,-2110,-312,-531,40,49,-235,-294,177,-308,-224,-702,-1711,-250,-581,568,-93,454,171,681,176,1649,-325,672,-87,113,703,1109,-2066,526,324,991,-133,-1395,794,-43,205,347,216,109,213,364,157,-897,-184,-173,157,-1084,-463,325,-284,-122,-46,-751,-204,-621,-428,-323,-986,429,424,231,-369,-935,-800,-872,669,-579,63,625,633,-601,-226,649,88,-243,1400,387,-221,-1360,271,-421,-263,-192,-552,759,-458,-788,-1253,431,-480,-482,648,-107,1018,212,754,-1423,475,-149,358,-711,894,338,-251,-1903,-31,-1050,716,-53,830,-1116,-851,-664
5,1.600000000000000089,243,608,-382,-161,187,-757,-585,1599,175,-442,1164,291,-222,-244,-705,1398,-557,-1611,9,591,-222,-385,1116,-498,379,-526,334,257,828,67,-549,-260,425,-5,497,-639,961,-1543,113,-260,171,119,284,47,7,606,1087,1417,-589,-164,1675,-702,53,143,303,526,-253,-231,4,-476,-1386,-357,447,-1106,-331,97,546,-1414,-395,1856,-185,-667,-85,-196,634,316,409,-64,-38,-690,-402,-805,-1,-307,416,153,12,447,1293,215,698,553,-606,-165,99,-46,537,513,-919,-1230,-54,-492,364,1050,156,-195,-403,35,444,-1134,-515,-293,390,109,55,246,-918,-1886,-1477,220,-649,114,802,170,-506,-50,-44,817,-828,181,-496,199,-332,-140
6,2,740,-1125,-329,274,284,-974,-373,-1364,1056,418,-644,-445,-977,-208,364,419,659,2085,89,-205,264,91,827,-133,-1873,1035,-489,86,660,268,-61,-572,254,1502,-63,337,792,-1280,282,256,33,-537,1570,-858,54,511,490,297,-719,428,-124,488,178,-356,-1063,-760,-393,-1015,-37,4,-316,94,-619,43,-561,616,-144,1168,-406,367,-5,154,913,470,555,-552,-667,781,885,172,1354,1198,-106,820,712,-646,-353,670,-829,-435,313,90,-45,1343,841,-152,-447,-427,-754,-372,-310,-599,-610,116,-980,-147,95,388,-533,39,344,-683,665,-718,-206,517,-893,-785,427,-164,-388,-397,295,450,-105,292,-505,-607,-250,-159,77,548,-439,-1089
7,2.400000000000000355,-656,493,-90,-175,65,-1240,-513,-677,734,-804,370,793,-435,257,-1685,-1023,846,697,406,2307,-832,-170,-790,-43,-1396,1056,629,-585,-154,691,-670,-788,132,232,-216,-924,147,359,20,8,1304,-677,986,1956,33,-448,-811,1252,813,-607,527,-1082,-249,1179,-471,986,614,345,984,-348,11,-519,-417,165,1209,-204,876,245,-920,-521,423,-107,-355,-146,-936,43,-550,-462,186,-593,16,-517,658,641,-1254,-296,-1218,-452,-250,-530,-238,-496,456,-74,-786,385,-241,-162,1136,-273,584,-498,-845,1225,397,205,-596,392,913,-268,1011,437,-555,45,-223,-1676,-143,918,62,916,696,289,-155,356,356,2069,-162,457,-257,-464,136,-27,281,-454
8,2.800000000000000266,839,268,2009,597,-460,-563,208,-170,267,-336,9,189,352,-2020,-1726,20,-184,476,1890,474,434,-822,-367,-1267,-245,-205,-607,1220,-1291,-132,-339,-723,492,-73,1525,-302,-929,1169,-238,59,363,158,434,-862,-781,-38,-720,-634,380,25,-708,-234,522,-1431,-32,-211,801,164,-315,-762,89,-405,-1015,124,26,170,-627,-626,-476,328,-1331,-572,238,628,-98,686,461,-546,-382,30,934,-828,894,482,-300,-603,1010,-720,-783,418,-784,1081,-69,253,771,-686,439,70,635,-722,-807,277,-726,-131,-235,-604,-535,138,14,-928,-996,202,-246,-82,583,858,-737,-628,-375,-946,904,163,-265,643,717,-161,-164,-24,278,126,-329,648,47,447
