,Line number,Station number,Datetime,time stamp (ms),conductivity (mS/m),In-phase (ppt),Latitude (deg),Longitude (deg),Altitude (m)
0,0,0.0,,64946907,-0.02,-1.7000000000000002,39.75139763833333,-105.22120246833333,1761.126
1,0,0.0,2025-01-24 13:39:53.200157-07:00,64947085,-0.02,-1.7000000000000002,39.751397608967935,-105.22120247436372,1761.124269539078
2,0,0.0,2025-01-24 13:39:53.200335-07:00,64947263,-0.02,-1.7000000000000002,39.75139757567468,-105.22120248120073,1761.1223076152305
3,0,0.0,2025-01-24 13:39:53.200513-07:00,64947441,-0.02,-1.7000000000000002,39.751397542381426,-105.22120248803775,1761.1203456913827
4,0,0.0,2025-01-24 13:39:53.200691-07:00,64947619,-0.02,-1.7000000000000002,39.75139750908818,-105.22120249487475,1761.118383767535
5,0,0.0,2025-01-24 13:39:53.200869-07:00,64947797,-0.02,-1.7000000000000002,39.751397475794924,-105.22120250171176,1761.1164218436875
6,0,0.0,2025-01-24 13:39:53.201047-07:00,64947975,-0.02,-1.8,39.75139746959747,-105.22120253608949,1761.1146087824352
7,0,0.0,2025-01-24 13:39:54.200227-07:00,64948153,-0.02,-1.8,39.75139753473387,-105.22120264297239,1761.1131876247505
8,0,0.0,2025-01-24 13:39:54.200406-07:00,64948332,-0.02,-1.8,39.751397600236196,-105.22120275045576,1761.111758483034
9,0,0.0,2025-01-24 13:39:54.200584-07:00,64948510,-0.02,-1.8,39.751397665372586,-105.22120285733865,1761.1103373253493
10,0,0.0,2025-01-24 13:39:54.200762-07:00,64948688,-0.02,-1.75,39.751397730508984,-105.22120296422155,1761.1089161676646
11,0,0.0,2025-01-24 13:39:54.200940-07:00,64948866,-0.02,-1.7000000000000002,39.751397795645374,-105.22120307110445,1761.10749500998
12,0,0.0,2025-01-24 13:39:55.200116-07:00,64949044,-0.02,-1.6,39.751397834332,-105.22120304877201,1761.1087347956131
13,0,0.0,2025-01-24 13:39:55.200294-07:00,64949222,-0.02,-1.6,39.75139785888169,-105.2212029573762,1761.1113968095713
14,0,0.0,2025-01-24 13:39:55.200472-07:00,64949400,-0.02,-1.5,39.75139788343137,-105.22120286598039,1761.1140588235294
15,0,0.0,2025-01-24 13:39:55.200650-07:00,64949578,-0.02,-1.4500000000000002,39.75139790798106,-105.22120277458457,1761.1167208374875
16,0,0.0,2025-01-24 13:39:55.200828-07:00,64949756,-0.02,-1.4000000000000001,39.751397932530736,-105.22120268318876,1761.1193828514456
17,0,0.0,2025-01-24 13:39:55.201007-07:00,64949935,-0.02,-1.3,39.751397957055275,-105.22120259323283,1761.122024120603
18,0,0.0,2025-01-24 13:39:56.200182-07:00,64950113,-0.02,-1.2000000000000002,39.75139797434841,-105.22120258876046,1761.1230974874372
19,0,0.0,2025-01-24 13:39:56.200360-07:00,64950291,-0.02,-1.2000000000000002,39.75139799164154,-105.22120258428811,1761.1241708542714
20,0,0.0,2025-01-24 13:39:56.200538-07:00,64950469,-0.02,-1.1,39.75139800893467,-105.22120257981575,1761.1252442211055
21,0,0.0,2025-01-24 13:39:56.200716-07:00,64950647,-0.02,-1.1,39.751398026227804,-105.22120257534338,1761.1263175879396
22,0,0.0,2025-01-24 13:39:56.200894-07:00,64950825,-0.02,-1.0,39.751398043520936,-105.22120257087103,1761.1273909547738
23,0,0.0,2025-01-24 13:39:56.201072-07:00,64951003,-0.02,-0.9,39.75139810266266,-105.22120255034869,1761.1277687687686
24,0,0.0,2025-01-24 13:39:57.200255-07:00,64951181,-0.0175,-0.9,39.7513982166967,-105.22120250877377,1761.1272342342343
25,0,0.0,2025-01-24 13:39:57.200433-07:00,64951359,-0.02,-0.9,39.75139833073073,-105.22120246719886,1761.1266996996997
26,0,0.0,2025-01-24 13:39:57.200611-07:00,64951537,-0.02,-1.0,39.75139844476477,-105.22120242562396,1761.126165165165
27,0,0.0,2025-01-24 13:39:57.200789-07:00,64951715,-0.02,-1.1,39.7513985587988,-105.22120238404905,1761.1256306306307
28,0,0.0,2025-01-24 13:39:57.200967-07:00,64951893,-0.02,-1.2000000000000002,39.751398672832835,-105.22120234247414,1761.125096096096
29,0,0.0,2025-01-24 13:39:58.200146-07:00,64952071,-0.02,-1.3,39.75139876361886,-105.22120229670651,1761.1232549800798
30,0,0.0,2025-01-24 13:39:58.200324-07:00,64952249,-0.02,-1.35,39.75139884930943,-105.22120225001993,1761.12112749004
31,0,0.0,2025-01-24 13:39:58.200502-07:00,64952427,-0.02,-1.375,39.751398935000005,-105.22120220333333,1761.1190000000001
32,0,0.0,2025-01-24 13:39:58.200680-07:00,64952605,-0.02,-1.4000000000000001,39.75139902069057,-105.22120215664674,1761.11687250996
33,0,0.0,2025-01-24 13:39:58.200858-07:00,64952783,-0.02,-1.475,39.75139910638114,-105.22120210996016,1761.1147450199203
