,Line number,Station number,marked,Datetime,time stamp (ms),conductivity (mS/m)
0,0,0.0,0,2025-01-24 13:57:42.005714,80494737,20.4775
1,0,0.0,0,2025-01-24 13:57:42.005904,80494927,20.4775
2,0,0.0,0,2025-01-24 13:57:42.006095,80495118,20.4775
3,0,0.0,0,2025-01-24 13:57:42.006286,80495309,20.4775
4,0,0.0,0,2025-01-24 13:57:42.006476,80495499,20.4775
5,0,0.0,0,2025-01-24 13:57:42.006667,80495690,20.4775
6,0,0.0,0,2025-01-24 13:57:42.006858,80495881,20.4775
7,0,0.0,0,2025-01-24 13:57:42.007048,80496071,20.4775
8,0,0.0,0,2025-01-24 13:57:42.007239,80496262,20.4775
9,0,0.0,0,2025-01-24 13:57:42.007430,80496453,20.4775
10,0,0.0,0,2025-01-24 13:57:42.007621,80496644,20.4775
11,0,0.0,0,2025-01-24 13:57:42.007811,80496834,20.4775
12,0,0.0,0,2025-01-24 13:57:42.008002,80497025,20.4775
13,0,0.0,0,2025-01-24 13:57:42.008193,80497216,20.4775
14,0,0.0,0,2025-01-24 13:57:42.008383,80497406,20.4775
15,0,0.0,0,2025-01-24 13:57:42.008574,80497597,20.4775
16,0,0.0,0,2025-01-24 13:57:42.008765,80497788,20.4775
17,0,0.0,0,2025-01-24 13:57:42.008955,80497978,20.4775
18,0,0.0,0,2025-01-24 13:57:42.009146,80498169,20.4775
19,0,0.0,0,2025-01-24 13:57:42.009337,80498360,20.4775
20,0,0.0,0,2025-01-24 13:57:42.009527,80498550,20.4775
21,0,0.0,0,2025-01-24 13:57:42.009718,80498741,20.4775
22,0,0.0,0,2025-01-24 13:57:42.009909,80498932,20.4775
23,0,0.0,0,2025-01-24 13:57:42.010099,80499122,20.4775
24,0,0.0,0,2025-01-24 13:57:42.010290,80499313,20.4775
25,0,0.0,0,2025-01-24 13:57:42.010481,80499504,20.4775
26,0,0.0,0,2025-01-24 13:57:42.010671,80499694,20.4775
27,0,0.0,0,2025-01-24 13:57:42.010862,80499885,20.4775
28,0,0.0,0,2025-01-24 13:57:42.011053,80500076,20.4775
29,0,0.0,0,2025-01-24 13:57:42.011244,80500267,20.4775
30,0,0.0,0,2025-01-24 13:57:42.011434,80500457,20.4775
31,0,0.0,0,2025-01-24 13:57:42.011625,80500648,20.4775
32,0,0.0,0,2025-01-24 13:57:42.011816,80500839,20.4775
33,0,0.0,0,2025-01-24 13:57:42.012006,80501029,20.4775
34,0,0.0,0,2025-01-24 13:57:42.012197,80501220,20.4775
35,0,0.0,0,2025-01-24 13:57:42.012388,80501411,20.4775
36,0,0.0,0,2025-01-24 13:57:42.012578,80501601,20.4775
37,0,0.0,0,2025-01-24 13:57:42.012769,80501792,20.4775
38,0,0.0,0,2025-01-24 13:57:42.012960,80501983,20.4775
39,0,0.0,0,2025-01-24 13:57:42.013150,80502173,20.4775
40,0,0.0,0,2025-01-24 13:57:42.013341,80502364,20.4775
41,0,0.0,0,2025-01-24 13:57:42.013532,80502555,20.4775
42,0,0.0,0,2025-01-24 13:57:42.013722,80502745,20.4775
43,0,0.0,0,2025-01-24 13:57:42.013913,80502936,20.4775
44,0,0.0,0,2025-01-24 13:57:42.014104,80503127,20.4775
45,0,0.0,0,2025-01-24 13:57:42.014294,80503317,20.4775
46,0,0.0,0,2025-01-24 13:57:42.014485,80503508,20.4775
47,0,0.0,0,2025-01-24 13:57:42.014676,80503699,20.4775
48,0,0.0,0,2025-01-24 13:57:42.014867,80503890,20.4775
49,0,0.0,0,2025-01-24 13:57:42.015057,80504080,20.4775
50,0,0.0,0,2025-01-24 13:57:42.015248,80504271,20.4775
51,0,0.0,0,2025-01-24 13:57:42.015439,80504462,20.4775
52,0,0.0,0,2025-01-24 13:57:42.015629,80504652,20.4775
53,0,0.0,0,2025-01-24 13:57:42.015820,80504843,20.4775
54,0,0.0,0,2025-01-24 13:57:42.016011,80505034,20.4775
55,0,0.0,0,2025-01-24 13:57:42.016201,80505224,20.4775
56,0,0.0,0,2025-01-24 13:57:42.016392,80505415,20.4775
57,0,0.0,0,2025-01-24 13:57:42.016583,80505606,20.4775
58,0,0.0,0,2025-01-24 13:57:42.016773,80505796,20.4775
59,0,0.0,0,2025-01-24 13:57:42.016964,80505987,20.4775
60,0,0.0,0,2025-01-24 13:57:42.017155,80506178,20.4775
61,0,0.0,0,2025-01-24 13:57:42.017345,80506368,20.4775
62,0,0.0,0,2025-01-24 13:57:42.017536,80506559,20.4775
