Line,Sample,Lat,Lon,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   0,   0.00000000,   0.00000000,   0,0,0,    0.00, 76166361.200,210926.3612,   93.9, 3.49553e+003, 9.19964e+002, 4.09800e+003, 1.34434e+003, 4.90878e+003, 2.22861e+003, 6.41740e+003, 4.62540e+003, 1.03196e+004, 1.01686e+004, 1.92869e+004
 0,   1,   0.00000000,   0.00000000,   0,0,0,    0.00, 76166461.200,210926.4612,   93.3, 3.51270e+003, 9.26346e+002, 4.12278e+003, 1.41502e+003, 4.81212e+003, 2.17581e+003, 6.46102e+003, 4.60241e+003, 1.02989e+004, 1.02366e+004, 1.93562e+004
 0,   2,   0.00000000,   0.00000000,   0,0,0,    0.00, 76166561.200,210926.5612,   93.0, 3.58925e+003, 9.47740e+002, 4.08454e+003, 1.36150e+003, 4.93300e+003, 2.09957e+003, 6.46906e+003, 4.66393e+003, 1.01240e+004, 1.02688e+004, 1.93415e+004
 0,   3,   0.00000000,   0.00000000,   0,0,0,    0.00, 76166661.200,210926.6612,   93.0, 3.55305e+003, 9.22138e+002, 4.06252e+003, 1.27806e+003, 4.95255e+003, 2.02871e+003, 6.40855e+003, 4.74218e+003, 1.01535e+004, 1.01264e+004, 1.90975e+004
 0,   4,   0.00000000,   0.00000000,   0,0,0,    0.00, 76166761.200,210926.7612,   92.9, 3.51333e+003, 8.45052e+002, 4.05221e+003, 1.25919e+003, 4.99094e+003, 2.21577e+003, 6.37050e+003, 4.67551e+003, 1.02547e+004, 9.96014e+003, 1.89557e+004
 0,   5,   0.00000000,   0.00000000,   0,0,0,    0.00, 76166861.200,210926.8612,   92.6, 3.56258e+003, 8.88038e+002, 4.02589e+003, 1.27614e+003, 5.05350e+003, 2.23231e+003, 6.48423e+003, 4.65261e+003, 1.02214e+004, 1.00698e+004, 1.91189e+004
 0,   6,   0.00000000,   0.00000000,   0,0,0,    0.00, 76166961.200,210926.9612,   93.1, 3.53341e+003, 9.42929e+002, 4.04845e+003, 1.30066e+003, 4.83888e+003, 2.28975e+003, 6.56366e+003, 4.62738e+003, 1.01546e+004, 1.02320e+004, 1.93927e+004
 0,   7,   0.00000000,   0.00000000,   0,0,0,    0.00, 76167061.200,210927.0612,   92.4, 3.53225e+003, 9.93522e+002, 4.07390e+003, 1.30068e+003, 4.84942e+003, 2.30348e+003, 6.54629e+003, 4.59747e+003, 1.01066e+004, 1.02602e+004, 1.94553e+004
 0,   8,   0.00000000,   0.00000000,   0,0,0,    0.00, 76167161.200,210927.1612,   92.4, 3.49959e+003, 1.00349e+003, 3.99967e+003, 1.22877e+003, 4.92993e+003, 2.23797e+003, 6.53426e+003, 4.73370e+003, 1.01517e+004, 1.00846e+004, 1.92885e+004
 0,   9,  39.75151190,-105.22101670,   0,0,4, 1760.79, 76167261.200,210927.2612,   92.7, 3.48976e+003, 9.63989e+002, 3.98933e+003, 1.27344e+003, 5.13273e+003, 2.30663e+003, 6.59635e+003, 4.90063e+003, 1.03219e+004, 1.00524e+004, 1.94971e+004
 0,  10,  39.75151194,-105.22101664,   0,0,4, 1760.79, 76167361.200,210927.3612,   92.3, 3.50782e+003, 9.62017e+002, 4.08094e+003, 1.34147e+003, 5.20705e+003, 2.30928e+003, 6.61441e+003, 4.89890e+003, 1.05131e+004, 1.01648e+004, 1.96765e+004
 0,  11,  39.75151198,-105.22101657,   0,0,4, 1760.79, 76167461.200,210927.4612,   92.1, 3.50604e+003, 9.43045e+002, 4.09984e+003, 1.23517e+003, 5.11218e+003, 2.42024e+003, 6.56465e+003, 4.79651e+003, 1.04697e+004, 1.02366e+004, 1.96316e+004
 0,  12,  39.75151202,-105.22101650,   0,0,4, 1760.79, 76167561.200,210927.5612,   92.3, 3.54364e+003, 9.03270e+002, 4.06999e+003, 1.25653e+003, 5.10007e+003, 2.38508e+003, 6.57919e+003, 4.62565e+003, 1.03827e+004, 1.02828e+004, 1.94533e+004
 0,  13,  39.75151206,-105.22101643,   0,0,4, 1760.79, 76167661.200,210927.6612,   91.8, 3.52095e+003, 8.82074e+002, 4.06657e+003, 1.31586e+003, 4.94460e+003, 2.30010e+003, 6.46572e+003, 4.62966e+003, 1.03031e+004, 1.03073e+004, 1.94350e+004
